,acode,Month,total,airport,city,state,country,lat,long,delayed,fpm,dpf
1961,PHX,11,104569,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,1,13049,8.013564258
2323,SJC,4,104511,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,1,6199,16.85933215
2354,SLC,8,104489,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,6609,15.81010743
1348,LAS,10,104378,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,1,11210,9.311150758
521,CLT,4,104192,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,1,10931,9.531790321
1761,MSP,9,103975,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,1,11471,9.064161799
408,BWI,10,103824,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,1,7849,13.22767231
1633,MIA,9,103617,Miami International,Miami,FL,USA,25.79325,-80.29055556,1,5848,17.71836525
2161,SAN,4,103355,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,1,6959,14.85199023
1102,HOU,8,102304,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,5265,19.43095916
662,DEN,9,101828,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,1,11021,9.239451955
1807,OAK,3,101660,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,5371,18.92757401
1638,MIA,4,101566,Miami International,Miami,FL,USA,25.79325,-80.29055556,1,6926,14.66445279
596,CVG,8,101541,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5887,17.24834381
2166,SAN,7,101109,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,1,7433,13.60271761
1098,HOU,3,100637,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,5168,19.47310372
669,DEN,10,100584,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,1,9925,10.13440806
2165,SAN,6,100133,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,1,7157,13.99091798
2351,SLC,7,99583,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,6694,14.87645653
1801,OAK,12,98910,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,4665,21.20257235
1809,OAK,4,98658,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,5291,18.64638065
2357,SLC,2,97471,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,6071,16.05518037
1985,PIT,3,97138,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,1,9339,10.40132777
1169,IAH,12,97003,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,1,10002,9.698360328
